x,y,yaw,left,right
-122.459628,271.238568,-5.734412,3.417503,2.668554
-121.535652,272.709348,-5.710143,3.250192,2.539592
-120.626268,274.083804,-5.687231,3.082175,2.411334
-119.737248,275.364684,-5.665706,2.913739,2.283494
-118.873944,276.554832,-5.645579,2.745124,2.155831
-118.041252,277.657056,-5.62685,2.576525,2.028149
-117.243672,278.67414,-5.609507,2.408094,1.900297
-116.485272,279.608772,-5.593531,2.239946,1.77216
-115.7697,280.463544,-5.578896,2.072161,1.643658
-115.100268,281.240868,-5.565575,1.904791,1.51474
-114.47988,281.943036,-5.553536,1.737862,1.385378
-113.911128,282.572148,-5.54275,1.571382,1.255567
-113.396292,283.130112,-5.533186,1.405342,1.125315
-112.937328,283.618644,-5.524816,1.239721,0.994644
-112.535952,284.039292,-5.517613,1.074485,0.863585
-112.193568,284.393364,-5.511554,0.909597,0.732178
-111.911388,284.681988,-5.506617,0.745011,0.600469
-111.690372,284.906088,-5.502786,0.580678,0.468507
-111.53124,285.066372,-5.500047,0.416544,0.336345
-111.43452,285.163368,-5.49839,0.252555,0.204038
-111.400524,285.197388,-5.497809,0.088654,0.071643
-111.39924,285.198672,-5.497787,0.003359,0.002715
-111.39924,285.198672,-5.497787,0,0
